,Evalaution Turn,iterations,success,fitness,position
144,145,283.0,1,10.0,[-1.84129092e-09 -5.75857537e-10 -1.30836167e+05]
145,146,255.0,1,10.0,[-1.85919548e-09  1.27341751e-09 -6.50158825e+03]
146,147,319.0,1,10.0,[-9.58402880e-10 -2.34421071e-10 -1.69411808e+03]
147,148,315.0,1,10.0,[-2.67431561e-10  1.29342491e-09  3.37803275e+05]
148,149,312.0,1,10.0,[-4.71948172e-10 -6.94564086e-10 -1.49277851e+07]
149,150,246.0,1,10.0,[-2.64402373e-09 -3.60074786e-11  7.28434001e+05]
150,151,274.0,1,10.0,[-1.04087603e-09 -1.64577850e-09  1.98228266e+05]
151,152,287.0,1,10.0,[-2.59564698e-09 -5.31698851e-10 -9.01138860e+01]
152,153,273.0,1,10.0,[ 2.73345486e-09 -4.50601772e-10 -2.26124935e+05]
153,154,304.0,1,10.0,[ 2.41651912e-09 -3.87305294e-10  1.88461210e+01]
154,155,286.0,1,10.0,[-2.58443416e-09 -2.04535163e-10 -1.36473373e+07]
155,156,257.0,1,10.0,[ 8.14060317e-10  1.40345485e-09 -4.86478498e+02]
156,157,275.0,1,10.0,[1.00989485e-09 1.30775143e-09 2.84246804e+06]
157,158,324.0,1,10.0,[-4.84606229e-10  9.37901993e-10  7.60902239e+03]
158,159,315.0,1,10.0,[-2.70109797e-09  1.30615747e-09 -2.54848296e+03]
159,160,272.0,1,10.0,[ 5.50502191e-10  1.03084131e-09 -1.49306699e+01]
160,161,293.0,1,10.0,[-3.44533094e-09  9.34051928e-10 -2.17631540e+02]
161,162,283.0,1,10.0,[ 2.53492523e-09 -1.29578817e-09  2.45711421e+04]
162,163,245.0,1,10.0,[ 1.06857308e-09  1.56102997e-09 -3.39711222e+03]
163,164,293.0,1,10.0,[ 1.47860785e-09 -5.33405626e-10 -1.96488311e+04]
164,165,250.0,1,10.0,[-9.91848119e-10 -6.93562952e-10  5.29837926e+04]
165,166,248.0,1,10.0,[ 2.79773234e-09 -3.94548477e-10  3.21059805e+05]
166,167,303.0,1,10.0,[ 1.26702149e-09 -1.18669093e-09 -7.93721146e+04]
167,168,217.0,1,10.0,[ 3.60415761e-09 -3.57812122e-10  3.44903849e+00]
168,169,217.0,1,10.0,[-1.77442288e-09  1.72242575e-10 -4.93938052e+03]
169,170,356.0,1,10.0,[ 1.53066499e-09 -1.37486690e-09 -2.02849391e+05]
170,171,247.0,1,10.0,[-1.41176256e-09  1.37915410e-10  6.41375466e+01]
171,172,292.0,1,10.0,[ 1.36629079e-09 -4.15211733e-10 -3.26062394e+03]
172,173,309.0,1,10.0,[-2.98402168e-09  1.14690765e-09  6.37648015e+02]
173,174,273.0,1,10.0,[2.04678286e-09 8.52329062e-10 2.99295191e+02]
174,175,300.0,1,10.0,[ 3.48877536e-09  2.11543036e-10 -2.27609517e+02]
175,176,286.0,1,10.0,[ 3.56133684e-09  3.43622320e-11 -4.15512704e+02]
176,177,275.0,1,10.0,[ 1.50710164e-09 -6.12204283e-10 -1.12626916e+03]
177,178,240.0,1,10.0,[-3.72776760e-09  1.57619551e-09  9.76767536e+03]
178,179,288.0,1,10.0,[ 2.10131261e-09 -7.75185823e-10 -1.23519143e+05]
179,180,262.0,1,10.0,[-3.01163461e-09 -1.46230679e-09  7.02966749e+04]
180,181,267.0,1,10.0,[-2.54769958e-09 -6.05322792e-10  4.78509898e+05]
181,182,278.0,1,10.0,[-7.89003342e-10 -1.14830990e-09  3.58861078e+07]
182,183,290.0,1,10.0,[-1.53959453e-10 -7.06761872e-10 -7.76491406e+03]
183,184,281.0,1,10.0,[1.92375531e-09 4.59067818e-10 9.68695082e+02]
184,185,275.0,1,10.0,[9.91611219e-10 8.86449241e-13 1.12243950e+06]
185,186,273.0,1,10.0,[6.53647996e-10 1.14497192e-09 8.93107235e+05]
186,187,281.0,1,10.0,[ 2.33425907e-09 -1.44442991e-09  1.35062097e+02]
187,188,315.0,1,10.0,[1.81185618e-09 8.44984210e-10 3.47544656e+05]
188,189,237.0,1,10.0,[ 1.04582006e-09 -3.22865558e-10  2.85635247e+03]
189,190,250.0,1,10.0,[ 2.15562114e-09  1.28759231e-09 -1.07794710e+05]
190,191,264.0,1,10.0,[-9.98167184e-11 -9.47883463e-10  6.84910612e+05]
191,192,182.0,1,10.0,[-6.89040848e-10 -1.30129913e-09  4.00555857e+03]
192,193,291.0,1,10.0,[-3.06556215e-09  1.31699111e-10 -5.73303191e+04]
193,194,254.0,1,10.0,[-2.00957039e-09 -2.70946009e-10  8.66368361e+04]
194,195,288.0,1,10.0,[ 3.70403545e-09 -1.49088241e-09  1.05449986e+04]
195,196,315.0,1,10.0,[1.28789407e-09 1.47549120e-10 1.08287151e+05]
196,197,306.0,1,10.0,[-6.82284309e-10 -4.29548595e-10  5.96127817e+03]
197,198,275.0,1,10.0,[2.54255516e-09 1.18149099e-10 3.22681720e+05]
198,199,256.0,1,10.0,[1.62262918e-09 2.63543657e-10 2.11429522e+05]
